,제목,링크,시간,코인 이름
0,리플 - SEC 소송 종결 전 XRP 매도는 최악의 결정 - 암호화폐 전문가,https://www.blockmedia.co.kr/archives/313200,20시간 전,리플
1,"[코인리더스] XRP 저가매수 유입에 5% 반등...""SEC-리플 소송 결과 임박""",https://www.coinreaders.com/68803,3일 전,리플
2,'보다' 채널이 리플에 점령됐다…동시다발 해킹,https://www.blockmedia.co.kr/archives/313434,1시간 전,리플
3,"리플 CTO, XRP 하락 관련 낙관적 전망 내놔",https://www.tokenpost.kr/article-130377,3일 전,리플
4,"힘 못쓰는 리플, 언제 튀어 오를까 < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=609769,1일 전,리플
5,비트코인 랠리에 XRP 4% 반등...친리플 변호사 ˝SEC 소송 이긴다˝ 재차 주장,http://www.coinreaders.com/69109,2시간 전,리플
6,"비트코인 시세, 3600만 원대... 이더리움ㆍ리플은?",http://www.ggilbo.com/news/articleView.html?idxno=971093,2일 전,리플
7,"크레스트, ‘리플 이펙트’ 스팀∙스토브 동시 출시",https://www.khgames.co.kr/news/articleView.html?idxno=212462,9시간 전,리플
8,"[코인리더스] 리플, SEC 소송 낙관론 확산에도 매도 압박 여전...XRP 사상최고가 논쟁 시끌",https://www.coinreaders.com/68852,2일 전,리플
9,"[코인리더스] 리플 변동성 확대 우려...""SEC 소송 끝나기 전 XRP 매도는 최악의 선택""",https://www.coinreaders.com/68998,1일 전,리플
10,"[인터뷰] 세기의 소송 주인공 리플, ""명확한 법, 제도 뒷받침 안된 가상자산 규제 반대""",https://www.ddaily.co.kr/news/article/?no=262578,1일 전,리플
11,"[오유리 칼럼] 국내 증권성 판단, 리플보다 테라-루나",https://www.coindeskkorea.com/news/articleView.html?idxno=90858,3주 전,리플
12,"몬테네그로 중앙은행, 리플과 CBDC 개발 추진",https://www.digitaltoday.co.kr/news/articleView.html?idxno=473889,2주 전,리플
13,韓 투자자 사랑한 '리플' 소송 결과 임박,http://news.bizwatch.co.kr/article/mobile/2023/03/31/0049,4주 전,리플
14,"美 법원, 내일 'XRP는 증권' 주장 보유자 vs 리플 집단소송 관련 심리 진행",http://www.hkbnews.com/news/articleView.html?idxno=99113,3시간 전,리플
15,[08:27 가상자산] 리플 소송 관망 속 상승,https://www.shinailbo.co.kr/news/articleView.html?idxno=1685671,2주 전,리플
16,[크립토 브리핑] 제자리걸음하는 비트코인...서서히 힘 빠지는 리플,https://www.techm.kr/news/articleView.html?idxno=108714,3주 전,리플
