,제목,링크,시간,코인 이름
0,"""그놈의 비트코인 1만개""…390억 날렸다, 지옥이 시작됐다",https://www.joongang.co.kr/article/25157935,15시간 전,비트코인
1,[코인시황] 연준 금리 지속 우려에 비트코인·이더리움 동시 하락,https://www.coindeskkorea.com/news/articleView.html?idxno=91114,1일 전,비트코인
2,"이더리움의 도전, 비트코인의 응전 : 금융·증권 : 경제 : 뉴스",https://www.hani.co.kr/arti/economy/finance/1089414.html,10시간 전,비트코인
3,"SC은행 애널리스트, “비트코인 2023년 말 1억3천만 원까지 간다”",https://hypebeast.kr/2023/4/bitcoin-could-hit-100000-by-end-2024-standard-chartered-says,1일 전,비트코인
4,"비트코인, 유동성 위기에 하락 후 반등…변동성 확대",http://news.einfomax.co.kr/news/articleView.html?idxno=4263884,12시간 전,비트코인
5,"[코인 시황] 비트코인, 기술주 실적에 안도하며 28K 회복",https://www.newspim.com/news/view/20230426000198,11시간 전,비트코인
6,"흔들리는 비트코인 시세, 지지선 지켜낼까…전망은 '극과 극'",https://m.ekn.kr/view.php?key=20230425010006299,1일 전,비트코인
7,비트코인 美 은행 위기 재점화에 3% 상승…3천700만원대,https://www.yna.co.kr/view/AKR20230426068500002,9시간 전,비트코인
8,비트코인 美 은행 위기 재점화에 3% 상승,https://www.hankooki.com/news/articleView.html?idxno=73716,26분 전,비트코인
9,암호화폐 겨울 정말 끝났나… “비트코인 내년 10만弗 간다”,https://www.seoul.co.kr/news/newsView.php?id=20230426012001,19시간 전,비트코인
10,"비트코인, 은행 위기설 속 반등 성공 < 블록체인 < 기사본문",https://www.digitaltoday.co.kr/news/articleView.html?idxno=474923,11시간 전,비트코인
11,[크립토 브리핑] 반등 성공한 비트코인…은행권 위기 호재됐나,https://www.techm.kr/news/articleView.html?idxno=109469,10시간 전,비트코인
12,"[마감 시세브리핑] 비트코인 2만8400 달러, 이더리움 1860 달러선",https://www.tokenpost.kr/article-130801,3시간 전,비트코인
13,"비트코인, 가짜 돌파 이후 다음 움직임은? | Investing.com",https://kr.investing.com/analysis/article-200443550,4시간 전,비트코인
14,"""내년 비트코인 1억원 간다""…은행서 이런 보고서 나온 이유",https://news.mt.co.kr/mtview.php?no=2023042510331256929,1일 전,비트코인
15,비트코인 2만8000 달러 회복...숏포지션 청산 상승 가속화,https://www.tokenpost.kr/article-130771,8시간 전,비트코인
16,[시세브리핑] 암호화폐 시장 상승 전환...비트코인 2만8210 달러선,https://www.tokenpost.kr/article-130740,12시간 전,비트코인
17,"[토큰포스트 마감 브리핑] 암호화폐 애널 ""美 10년물 국채금리 3.5% 하회 시 비트코인 4만5000 달러 상승"" 外",https://www.tokenpost.kr/article-130800,3시간 전,비트코인
18,비트코인 10만 달러 간다? 신중론도 만만찮다,https://news.koreadaily.com/2023/04/25/economy/economygeneral/20230425080413759.html,20시간 전,비트코인
19,"스탠다드차타드 ""비트코인, 내년 말 10만 달러 간다""",https://www.yna.co.kr/view/AKR20230425007800091,1일 전,비트코인
20,"21셰어스·아크인베스트, 비트코인 현물 ETF 재도전",https://www.tokenpost.kr/article-130748,10시간 전,비트코인
21,OK캐쉬백 포인트로 비트코인 구매하세요,https://zdnet.co.kr/view/?no=20230426110739,9시간 전,비트코인
22,"[코인시황] 비트코인 28K 아래 박스권...""내년 말 10만달러 간다""",https://www.newspim.com/news/view/20230425000160,1일 전,비트코인
23,"비트코인 3% 상승,3700만원대…美보고서 ""내년 10만달러 갈 것""",http://www.kado.net/news/articleView.html?idxno=1180384,9시간 전,비트코인
24,'비트코인 가격 내년 말 10만달러까지 치솟는다',https://www.getnews.co.kr/news/articleView.html?idxno=624544,1일 전,비트코인
25,"""비트코인, 내년 말 10만 달러""···""가상화폐 겨울 끝났다""",https://www.opinionnews.co.kr/news/articleView.html?idxno=83447,1일 전,비트코인
26,"[글래스노드] 비트코인, 하락장의 끝은 어디일까?",https://www.coindeskkorea.com/news/articleView.html?idxno=91079,5일 전,비트코인
27,"비트코인, MS·알파벳 등 빅테크 기업 실적 호조에 2만8000달러 재돌파 By MoneyS",https://kr.investing.com/news/stock-market-news/article-902923,12시간 전,비트코인
28,[오후 시세브리핑] 은행 위기에 반등하는 시장...비트코인 2만8350 달러,https://www.tokenpost.kr/article-130766,9시간 전,비트코인
29,"비트코인 시세 하락은 '건강한 조정', 투자기관 ""안전자산으로 가치 높여""",https://www.businesspost.co.kr/BP?command=article_view&num=313319,1일 전,비트코인
30,[코인시장은 지금] 비트 연말 45k까지 오를 것이라는 전망...중국은 '문 활짝',http://www.biztribune.co.kr/news/articleView.html?idxno=280536,5시간 전,비트코인
31,"[코인 시황] 비트코인, 주간 10% 밀리며 28K 하회",https://www.newspim.com/news/view/20230424000232,2일 전,비트코인
32,"비트코인 시세 '4배 급등' 전망 솔솔, ""암호화폐 겨울 끝, 가격 10만달러 가능"" [SC]",https://m.ekn.kr/view.php?key=20230425010006251,1일 전,비트코인
33,코인베이스發 암호화폐 엑소더스?,http://www.fortunekorea.co.kr/news/articleView.html?idxno=27666,23시간 전,비트코인
34,비트코인 5만달러 간다? …반감기 영향 받을까,https://www.digitaltoday.co.kr/news/articleView.html?idxno=474755,2일 전,비트코인
35,"스탠다드 차타드 은행 ""비트코인 24년까지 10만달러 도달""",http://www.digitaltoday.co.kr/news/articleView.html?idxno=474812,1일 전,비트코인
36,"비트코인 3600만 원대 유지, 내년 말 비트코인 10만달러 도달 가능성 나와",https://www.businesspost.co.kr/BP?command=article_view&num=313374,1일 전,비트코인
37,아르헨티나서 비트코인 가격 사상 최고가 경신,http://www.blockchaintoday.co.kr/news/articleView.html?idxno=31750,5시간 전,비트코인
38,"비트코인, 소폭 하락…가상자산 시장 혼조세",http://www.digitaltoday.co.kr/news/articleView.html?idxno=474804,1일 전,비트코인
39,"[코인뉴스] 비트코인, 美 은행 위기 재점화에 상승 전환",https://www.dailian.co.kr/news/view/1227682,1시간 전,비트코인
40,"비트코인,2만8천달러 턱걸이…기술적으로 50일 이평선 주목",http://news.einfomax.co.kr/news/articleView.html?idxno=4263472,4일 전,비트코인
41,"일부 전문가 ""비트코인,50일 이평선까지 밀릴 수도""",http://news.einfomax.co.kr/news/articleView.html?idxno=4263296,5일 전,비트코인
42,"비트코인, 눈치보기 장세 지속...알트코인도 하락",https://www.digitaltoday.co.kr/news/articleView.html?idxno=474690,2일 전,비트코인
43,"비트코인 3600만 원대 유지, 내년 4월 비트코인 가격 5만 달러 전망도",https://www.businesspost.co.kr/BP?command=article_view&num=313140,2일 전,비트코인
