,제목,링크,시간,코인 이름
0,[코인리더스] [코인 빅데이터] `톱2` 암호화폐 하드포크...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://m.coinreaders.com/68977,1일 전,이더리움 클래식
1,"가상화폐 이더리움클래식 27,290원(+5.86%) 거래중",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202304220064,3일 전,이더리움 클래식
2,이더리움 클래식 코인 노린다! 코인 마이너 악성코드 유포,http://www.boannews.com/media/view.asp?idx=113558,2023. 1. 18.,이더리움 클래식
3,"비트코인, 미국 증시와 동반 상승…이더리움클래식 급등",https://www.digitaltoday.co.kr/news/articleView.html?idxno=467842,2023. 1. 5.,이더리움 클래식
4,"코인베이스, 비트코인캐시- XRP-이더리움클래식 내년 1월 상장 폐지",http://www.fortunekorea.co.kr/news/articleView.html?idxno=25180,2022. 12. 1.,이더리움 클래식
5,이더리움클래식 코인이 뭐길래…급등 이유는,https://mobile.newsis.com/view.html?ar_id=NISX20230105_0002149717,2023. 1. 6.,이더리움 클래식
6,"앤트풀, 이더리움클래식 생태계에 1000만달러 투자",https://www.coindeskkorea.com/news/articleView.html?idxno=80556,2022. 7. 27.,이더리움 클래식
7,"치솟은 해시레이트에 이더리움클래식 주목…""PoW 잔류 변수""",http://news.einfomax.co.kr/news/articleView.html?idxno=4233864,2022. 9. 19.,이더리움 클래식
8,"이더리움 클래식, 뛴다 < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=599678,2023. 1. 5.,이더리움 클래식
9,"머지 업그레이드로 시장 활력 넣은 이더리움…""더 오를 가능성""",https://www.yna.co.kr/view/AKR20220909049900002,2022. 9. 10.,이더리움 클래식
10,[코인리더스] [코인 빅데이터] `빅2` 암호화폐 하드포크...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://www.coinreaders.com/67213,3주 전,이더리움 클래식
11,"이더리움클래식, 하루 만에 해시율 280% 급증...역대 최대폭",https://www.tokenpost.kr/article-105598,2022. 9. 16.,이더리움 클래식
12,"가상화폐 비트코인(-0.3%), 이더리움클래식(+11.54%)",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202301070007,2023. 1. 7.,이더리움 클래식
13,[코인리더스] [코인 빅데이터] 샤펠라 업글 약발 다했나...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/68537,6일 전,이더리움 클래식
14,[코인리더스] [코인 빅데이터] 상하이 업그레이드 완료...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/67869,2주 전,이더리움 클래식
15,[코인리더스] [코인 빅데이터] `톱2` 암호화폐 하드포크...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://www.coinreaders.com/64829,1개월 전,이더리움 클래식
16,[코인 빅데이터] '빅2' 암호화폐 하드포크...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,http://www.coinreaders.com/64149,1개월 전,이더리움 클래식
17,[코인리더스] [코인 빅데이터] `톱2` 암호화폐 하드포크...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://www.coinreaders.com/61044,2023. 2. 7.,이더리움 클래식
18,[코인리더스] [코인 빅데이터] 이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://m.coinreaders.com/56491,2022. 12. 22.,이더리움 클래식
19,이더리움 클래식 더 유연하다? 해시레이트 폭발 By Economic Review,https://kr.investing.com/news/cryptocurrency-news/article-833396,2022. 9. 16.,이더리움 클래식
20,"가상화폐 비트코인 0.88% 상승, 이더리움클래식 13.43% 상승",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202301040293,2023. 1. 4.,이더리움 클래식
21,"이더리움 클래식, 쭉 밀렸다 < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=592074,2022. 10. 11.,이더리움 클래식
22,[코인 빅데이터] '빅2' 암호화폐 하드포크...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,http://coinreaders.com/62897,2023. 2. 23.,이더리움 클래식
23,[코인리더스] [코인 빅데이터] `빅2` 암호화폐 하드포크...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://www.coinreaders.com/66338,1개월 전,이더리움 클래식
24,[머지 D-DAY] 머지 수혜주된 이더리움클래식…오전 한때 8% 상승 - 뉴스1,https://www.news1.kr/articles/?4802881,2022. 9. 15.,이더리움 클래식
25,"[Bit코인] 이더리움클래식, 급등해 20위권 진입…“BTC, 1만9300달러가 바닥”",https://www.etoday.co.kr/news/view/2170364,2022. 9. 6.,이더리움 클래식
26,"'더머지' 이후 ETC·RVN으로 옮겨간 ETH 채굴자들, 손실 중",https://www.coindeskkorea.com/news/articleView.html?idxno=81420,2022. 9. 20.,이더리움 클래식
27,확 뛴 이더리움 클래식...왜? < 블록체인 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=588608,2022. 9. 5.,이더리움 클래식
28,[코인리더스] [코인 빅데이터] 머지 이후 관심도 가격도 `뚝`...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/52766,2022. 11. 18.,이더리움 클래식
29,코인베이스 월렛 비트코인캐시·이더리움클래식 지원 안한다[글로벌포스트],https://www.fnnews.com/news/202211300704000315,2022. 11. 30.,이더리움 클래식
30,[코인리더스] [코인 빅데이터] 머지 이후 관심도 가격도 `뚝`...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/52766,2022. 11. 18.,이더리움 클래식
31,코인베이스 월렛 비트코인캐시·이더리움클래식 지원 안한다[글로벌포스트],https://www.fnnews.com/news/202211300704000315,2022. 11. 30.,이더리움 클래식
32,이더리움클래식(ETC) 이더리움 머지 앞두고 급등--헤시레이트도 사상최고치,https://www.blockmedia.co.kr/archives/254072,2022. 9. 6.,이더리움 클래식
33,이더리움 클래식의 계절 왔나 < 블록체인 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=588734,2022. 9. 6.,이더리움 클래식
34,비트코인-이더리움-이더리움클래식 가격 상승하며 편안한 ′주말′ 흐름,https://www.socialvalue.kr/news/view/1065545609196695,2022. 10. 30.,이더리움 클래식
35,[코인리더스] [코인 빅데이터] 머지 업데이트 이후 변화...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/47064,2022. 9. 29.,이더리움 클래식
36,[코인리더스] [코인 빅데이터] 하드포크 암호화폐...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://www.coinreaders.com/57785,2023. 1. 6.,이더리움 클래식
37,비트코인-이더리움-이더리움클래식 폭락 벗어나 회복세...칠리즈-폴리곤도 반등 모색,https://www.socialvalue.kr/news/view/1065546007218108,2022. 11. 9.,이더리움 클래식
38,"이더리움 클래식 전일비 25% 급등, 기술적 분석상 58 달러도 바라볼 수 있다",https://www.blockmedia.co.kr/archives/254134,2022. 9. 6.,이더리움 클래식
39,"비트코인 2700만원, 이더리움 197만원...분위기는? < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=605016,1개월 전,이더리움 클래식
40,"이더리움클래식 해시레이트, '머지' 후 80% 급등하며 최고치 기록",https://www.blockchaintoday.co.kr/news/articleView.html?idxno=24359,2022. 9. 16.,이더리움 클래식
41,[코인리더스] [코인 빅데이터] 하드포크 암호화폐...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://m.coinreaders.com/48107,2022. 10. 11.,이더리움 클래식
42,[코인리더스] [코인 빅데이터] 하드포크 암호화폐...비트코인에스브이(BSV) vs 이더리움클래식(ETC) 트렌드,https://www.coinreaders.com/55453,2022. 12. 13.,이더리움 클래식
43,"이더리움클래식(ETC), 머지 업그레이드에 시세 상승?",http://www.ggilbo.com/news/articleView.html?idxno=933979,2022. 9. 15.,이더리움 클래식
44,머지 앞두고 급등한 '이더리움클래식'...채굴자 대안될까,https://www.tokenpost.kr/article-104441,2022. 9. 6.,이더리움 클래식
45,"[코인리더스] 이더리움클래식(ETC), 머지 호재에 30% 가깝게 폭등...트론·아발란체 시총 추월하나",https://www.coinreaders.com/44494,2022. 9. 6.,이더리움 클래식
46,[코인리더스] [코인 빅데이터] 대표 하드포크 암호화폐...이더리움클래식(ETC) vs 비트코인캐시(BCH) 트렌드,https://www.coinreaders.com/49992,2022. 10. 28.,이더리움 클래식
47,"이더리움 클래식, 6만원 가나 < 블록체인 < IT/스타트업 < 기사본문",https://www.econovill.com/news/articleView.html?idxno=585757,2022. 8. 14.,이더리움 클래식
48,열흘만에 `두 배` 폭등...이더리움 클래식에 무슨 일이,https://www.mk.co.kr/economy/view/2022/670865,2022. 7. 29.,이더리움 클래식
49,"이더리움 클래식, 하루만에 끝난 랠리",https://www.econovill.com/news/articleView.html?idxno=588890,2022. 9. 7.,이더리움 클래식
50,이더리움클래식 해시레이트 사상 최고치...'머지' 앞두고 채굴자 유입,https://www.tokenpost.kr/article-103081,2022. 8. 22.,이더리움 클래식
51,[코인리더스] [코인 빅데이터] 머지 업그레이드 D-0...이더리움(ETH) vs 이더리움클래식(ETC) 트렌드,https://m.coinreaders.com/45474,2022. 9. 15.,이더리움 클래식
52,머지의 이더리움...이더리움 클래식 기대 커진다 < 블록체인 < IT/스타트업 < 기사본문,https://www.econovill.com/news/articleView.html?idxno=589182,2022. 9. 11.,이더리움 클래식
53,"[코인리더스] 이더리움클래식, ETH 머지 임박에 해시레이트 사상 최고치 기록...ETC 6% 랠리",https://www.coinreaders.com/44456,2022. 9. 5.,이더리움 클래식
54,"“순식간에 400만원 벌었다” 갑자기 '쌈짓돈' 번 사람 속출, 무슨 일이",http://news.heraldcorp.com/view.php?ud=20220908000568,2022. 9. 8.,이더리움 클래식
55,[코인리더스] [코인 빅데이터] 머지 이후...이더리움클래식(ETC) vs 이더리움POW(ETHW) 트렌드,https://m.coinreaders.com/48953,2022. 10. 19.,이더리움 클래식
