,제목,링크,시간,코인 이름
0,"이더리움 레이어2 네트워크 TVL, 역대 최고치 경신",https://www.coindeskkorea.com/news/articleView.html?idxno=91112,1일 전,이더리움
1,"[오전브리핑] 권도형 ""테라는 증권 아닌 화폐"", 이더리움 레이어2 TVL 최고치 경신",https://www.coindeskkorea.com/news/articleView.html?idxno=91116,1일 전,이더리움
2,"이더리움, 머지 이후 전력 소비량 99% 이상 감소",https://www.tokenpost.kr/article-130820,1시간 전,이더리움
3,"이더리움의 도전, 비트코인의 응전 : 금융·증권 : 경제 : 뉴스",https://www.hani.co.kr/arti/economy/finance/1089414.html,10시간 전,이더리움
4,"알리바바 계열사 앤트그룹 ""이더리움 호환 웹3 컨소시엄체인 출시한다""",https://www.tokenpost.kr/article-130785,6시간 전,이더리움
5,[코인시황] 연준 금리 지속 우려에 비트코인·이더리움 동시 하락,https://www.coindeskkorea.com/news/articleView.html?idxno=91114,1일 전,이더리움
6,카르다노·솔라나 기반 NFT 판매량 급증...이더리움은 감소 추세,https://www.coindeskkorea.com/news/articleView.html?idxno=91111,1일 전,이더리움
7,[토큰포스트 오후 브리핑] 주간 이더리움 예치량 2년 반만에 최다...기관 물량 주도 外,https://www.tokenpost.kr/article-130606,1일 전,이더리움
8,"[가상화폐 시황] 비트코인, 일주일 새 7% 하락…이더리움도 약세",https://www.hankooki.com/news/articleView.html?idxno=73159,1일 전,이더리움
9,"˝이더리움 전망 낙관적, 2015년 비트코인과 유사˝...˝샤펠라 업그레이드 후 BTC-ETH 상관계수 하락˝",http://www.coinreaders.com/69004,1일 전,이더리움
10,"이더리움, 올해 말 칸쿤-데넵 업그레이드 진행 예정",https://www.digitaltoday.co.kr/news/articleView.html?idxno=474680,3일 전,이더리움
11,"이더리움, 미국 경제지 '포춘' 선정 '최고의 프로토콜'",https://hypebeast.kr/2023/4/fortune-ethereum-bitcoin-cripto-protocol,2주 전,이더리움
12,[코인시장은 지금] 비트 연말 45k까지 오를 것이라는 전망...중국은 '문 활짝',http://www.biztribune.co.kr/news/articleView.html?idxno=280536,5시간 전,이더리움
13,"코인베이스판 이더리움 레이어2 '베이스', 올해 메인넷 공개 전망",https://www.digitaltoday.co.kr/news/articleView.html?idxno=474651,4일 전,이더리움
14,"[마감 시세브리핑] 비트코인 2만8400 달러, 이더리움 1860 달러선",https://www.tokenpost.kr/article-130801,3시간 전,이더리움
15,"""머지 업글 이후 이더리움 공급량 10만개 이상 줄었다""",http://www.digitaltoday.co.kr/news/articleView.html?idxno=474629,5일 전,이더리움
