,제목,링크,시간,코인 이름
0,"[코인리더스] 챗GPT ""2030년 카르다노(ADA) 가격, 2~30달러 전망""...이유는?",https://www.coinreaders.com/62376,2023. 2. 17.,카르다노 에이다
1,"카르다노, 올 1분기 시총 54%↑",https://www.tokenpost.kr/article-129936,1주 전,카르다노 에이다
2,카르다노(ADA) 고래들 2주 간 $5.6억 매수,https://www.blockmedia.co.kr/archives/309517,2주 전,카르다노 에이다
3,"카르다노, 스리랑카 'e툭툭' 전기차 프로젝트 개시",https://www.digitaltoday.co.kr/news/articleView.html?idxno=468925,2023. 1. 25.,카르다노 에이다
4,"에스티마이즈 CEO ""리플·카르다노, 쓸모 없는 암호화폐"" 맹비난",https://www.blockchaintoday.co.kr/news/articleView.html?idxno=27922,2023. 2. 17.,카르다노 에이다
5,"[주간블록체인] 힌남노급 태풍에도 꿋꿋한 2개 코인, 대형 업그레이드 격돌 'ETH·ADA'",http://m.ddaily.co.kr/m/m_article/?no=246030,2022. 9. 5.,카르다노 에이다
6,"디파이 프로토콜 멜드 ""카르다노 네트워크서 충돌 오류 발견""",https://www.tokenpost.kr/article-128656,3주 전,카르다노 에이다
7,[코인리더스] ADA 1달러 회복 언제쯤...카르다노 기반 첫 스테이블코인 `제드` 출시 주목,https://m.coinreaders.com/60189,2023. 1. 30.,카르다노 에이다
8,카르다노 기반 스테이블코인 프로젝트 'dUSD' 개발 중단,https://www.digitaltoday.co.kr/news/articleView.html?idxno=465664,2022. 11. 28.,카르다노 에이다
9,"카르다노 사용자들, 조만간 ADA 지갑에서 EVM 계약에 직접 접속",https://www.blockmedia.co.kr/archives/307231,3주 전,카르다노 에이다
10,카르다노(ADA) 토큰 스테이킹 255억 개 돌파… 두 달간 4억 개 증가,https://www.blockchaintoday.co.kr/news/articleView.html?idxno=27558,2023. 2. 8.,카르다노 에이다
11,"2만 달러 못 벗어나는 BTC, 美고용지표 영향…카르다노 에이다는 상승세",http://m.ddaily.co.kr/m/m_article/?no=245940,2022. 9. 4.,카르다노 에이다
12,"BofA ""니어·폴카닷·카르다노·솔라나·트론·아발란체 등 3세대 블록체인 소프트웨어 미성숙""",https://www.tokenpost.kr/article-127099,1개월 전,카르다노 에이다
13,카르다노 블록체인 네트워크 성능 향상 업데이트 출시,https://www.blockmedia.co.kr/archives/303499,1개월 전,카르다노 에이다
14,"카르다노, '바실' 업그레이드...어떻게 달라지나 < 블록체인 < 기사본문",https://www.digitaltoday.co.kr/news/articleView.html?idxno=461997,2022. 9. 25.,카르다노 에이다
15,"카르다노, ADA 결제 가능한 '호스킨슨 병원' 내달 오픈",https://www.blockchaintoday.co.kr/news/articleView.html?idxno=26618,2023. 1. 10.,카르다노 에이다
16,"[코인리더스] ADA 최고점 대비 92% 폭락, 반등 임박했다?..""카르다노, 올해 가장 개발 활동 활발""",https://www.coinreaders.com/57257,2022. 12. 31.,카르다노 에이다
17,"카르다노 창업자 ""자체 ZK롤업 기술 출시 계획 있다""",https://www.tokenpost.kr/article-129540,1주 전,카르다노 에이다
18,"알갓 ""카르다노 100억 달러 이상 밸류에이션은 '거품'""",https://www.tokenpost.kr/article-128567,3주 전,카르다노 에이다
19,"아네타BTC, 카르다노 네트워크 기반 비트코인 래핑 토큰 데모 버전 출시",https://www.tokenpost.kr/article-129566,1주 전,카르다노 에이다
20,비트코인 이더리움 도지 하락하는데 카르다노 16%↑ 왜?,https://www.mk.co.kr/news/world/9873088,1주 전,카르다노 에이다
21,"""카르다노(ADA), 저항선인 0.43달러까지 소폭 상승 가능성""",https://www.blockchaintoday.co.kr/news/articleView.html?idxno=27986,2023. 2. 20.,카르다노 에이다
22,[코인리더스] [코인 빅데이터] `이더리움 킬러`...카르다노(ADA) vs 솔라나(SOL) 트렌드,https://www.coinreaders.com/62033,2023. 2. 15.,카르다노 에이다
23,[코인리더스] 카르다노(ADA)·솔라나(SOL) 9%가량 급등...지난주 기관 유입도,https://www.coinreaders.com/59882,2023. 1. 26.,카르다노 에이다
24,[코인리더스] 카르다노(ADA) 저가매수 기회 맞나,https://www.coinreaders.com/64726,1개월 전,카르다노 에이다
25,카르다노 기반 알고리즘 스테이블코인 '제드(Djed)' 출시,https://www.blockchaintoday.co.kr/news/articleView.html?idxno=27287,2023. 2. 1.,카르다노 에이다
26,[코인리더스] [코인 빅데이터] `이더리움 경쟁자`...카르다노(ADA) vs 폴리곤(MATIC) 트렌드,https://www.coinreaders.com/54289,2022. 12. 2.,카르다노 에이다
27,"[코인리더스] 카르다노 창시자 ""NFT, 생태계서 가장 활기찬 분야""...ADA 지난 7일간 9% 하락",https://www.coinreaders.com/63963,1개월 전,카르다노 에이다
28,"""카르다노(ADA) 가격, 30% 하락할 위험 있다""",https://www.blockchaintoday.co.kr/news/articleView.html?idxno=24848,2022. 10. 14.,카르다노 에이다
29,"[코인리더스] 도지코인 `머스크 효과`에 급등, 카르다노 시총 제쳐...DOGE 매물 출회도",https://www.coinreaders.com/67022,3주 전,카르다노 에이다
30,카르다노 기반 탈중앙화 거래소 '에이다스왑' 메인넷 출시,https://www.blockchaintoday.co.kr/news/articleView.html?idxno=25736,2022. 11. 29.,카르다노 에이다
31,"ADA 창시자 ""도지코인, 카르다노 사이드체인 돼야""",https://www.tokenpost.kr/article-110318,2022. 10. 31.,카르다노 에이다
32,"[코인리더스] ""카르다노(ADA) 고래 수, 대규모 트랜잭션 증가""...개발 활동도 활발",http://coinreaders.com/61149,2023. 2. 8.,카르다노 에이다
